Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
63787236,NZD/USD,5000,04/07/2014 21:05:00,04/07/2014 21:35:00,0.86199,0.86294,Short,-4.75,0,0,0,0,-4.75,LE,SE,3000047258
63786724,GBP/USD,4000,04/08/2014 03:01:00,04/08/2014 04:16:00,1.66369,1.66468,Short,-3.96,0,0,0,0,-3.96,LE,SE,3000047258
63811871,EUR/JPY,2000,04/09/2014 06:06:00,04/09/2014 15:38:00,140.933,141.208,Short,-5.4,0,0,0,0,-5.4,LE,SE,3000047258
63824363,GBP/NZD,1000,04/09/2014 11:01:00,04/09/2014 14:27:00,1.9359,1.92747,Short,7.34,0,0,0,0,7.34,LE,LE,3000047258
63852432,USD/JPY,2000,04/10/2014 10:45:00,04/10/2014 11:24:00,101.341,101.576,Long,-4.64,0,0,0,0,-4.64,LE,SE,3000047258
63850996,GBP/AUD,2000,04/10/2014 19:52:00,04/10/2014 20:05:00,1.78492,1.78733,Short,-4.53,0,0,0,0,-4.53,LE,SE,3000047258
65044550,EUR/USD,5000,06/25/2014 02:48:00,06/25/2014 05:30:00,1.36167,1.36057,Short,5.5,0,0,0,0,5.5,LE,LE,3000047258
65044963,EUR/USD,5000,06/25/2014 02:48:00,06/25/2014 08:30:00,1.36167,1.36329,Short,-8.1,0,0,0,0,-8.1,LE,SE,3000047258
65083711,AUD/USD,5000,06/26/2014 21:37:00,06/26/2014 23:36:00,0.94249,0.94341,Short,-4.6,0,0,0,0,-4.6,LE,SE,3000047258
65083718,AUD/USD,5000,06/26/2014 21:37:00,06/26/2014 23:36:00,0.94249,0.94341,Short,-4.6,0,0,0,0,-4.6,LE,SE,3000047258
65120283,USD/JPY,14000,06/30/2014 20:58:00,06/30/2014 22:32:00,101.43,101.526,Short,-13.24,0,0,0,0,-13.24,LE,SE,3000047258
65120104,AUD/USD,14000,06/30/2014 20:59:00,06/30/2014 21:37:00,0.94237,0.94308,Short,-9.94,0,0,0,0,-9.94,LE,SE,3000047258
65120397,EUR/JPY,14000,06/30/2014 20:59:00,06/30/2014 21:59:00,138.886,138.972,Short,-11.86,0,0,0,0,-11.86,LE,SE,3000047258
