Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
59955743,EUR/USD,9000,10/01/2013 02:42:00,10/01/2013 04:50:00,1.35753,1.35502,Short,22.59,0,0,0,0,22.59,LE,LE,3000047258
59984929,GBP/USD,14000,10/01/2013 09:54:00,10/01/2013 10:00:00,1.61967,1.6214,Long,-24.22,0,0,0,0,-24.22,LE,SE,3000047258
60012765,EUR/USD,11000,10/02/2013 22:02:00,10/03/2013 06:17:00,1.36184,1.36091,Short,10.23,0,0,0,0,10.23,LE,Mkt,3000047258
60055859,EUR/USD,10000,10/04/2013 03:19:00,10/04/2013 06:24:00,1.35924,1.36142,Long,-21.8,0,0,0,0,-21.8,LE,SE,3000047258
60045554,GBP/USD,7000,10/04/2013 04:02:00,10/04/2013 04:45:00,1.60882,1.61196,Long,-21.98,0,0,0,0,-21.98,LE,SE,3000047258
60138760,AUD/USD,12000,10/08/2013 10:59:00,10/08/2013 12:06:00,0.94383,0.94552,Long,-20.28,0,0,0,0,-20.28,LE,SE,3000047258
60176053,GBP/USD,21000,10/09/2013 15:39:00,10/09/2013 21:10:00,1.59459,1.59552,Long,-19.53,0,0,0.76,0,-18.77,LE,SE,3000047258
60175202,AUD/USD,19000,10/09/2013 20:30:00,10/09/2013 21:17:00,0.94633,0.94316,Short,60.23,0,0,0,0,60.23,LE,Mkt,3000047258
60198841,AUD/USD,19000,10/10/2013 11:21:00,10/10/2013 21:56:00,0.94629,0.94748,Short,-22.61,0,0,-1.69,0,-24.3,LE,SE,3000047258
60200223,GBP/USD,11000,10/10/2013 11:27:00,10/10/2013 20:14:00,1.59688,1.59686,Short,0.22,0,0,-0.2,0,0.02,LE,LE,3000047258
60213039,AUD/USD,13000,10/10/2013 22:05:00,10/11/2013 09:00:00,0.94553,0.94727,Long,-22.62,0,0,0,0,-22.62,Mkt,SE,3000047258
60258239,GBP/USD,1000,10/14/2013 20:53:00,10/14/2013 21:21:00,1.59828,1.59603,Long,2.25,0,0,0,0,2.25,LE,LE,3000047258
60283664,USD/CHF,12000,10/16/2013 07:32:00,10/16/2013 11:08:00,0.91578,0.91043,Long,70.1,0,0,0,0,70.1,LE,SE,3000047258
60358537,AUD/USD,14000,10/17/2013 21:57:00,10/17/2013 22:00:00,0.96179,0.96309,Short,-18.2,0,0,0,0,-18.2,LE,SE,3000047258
60370100,AUD/NZD,11000,10/18/2013 10:33:00,10/18/2013 15:54:00,1.13918,1.13765,Long,14.28,0,0,0,0,14.28,LE,LE,3000047258
60413319,AUD/USD,18000,10/22/2013 08:42:00,10/22/2013 08:53:00,0.96855,0.9698,Long,-22.5,0,0,0,0,-22.5,LE,SE,3000047258
60449508,NZD/USD,10000,10/23/2013 10:59:00,10/23/2013 12:05:00,0.83897,0.83896,Short,0.1,0,0,0,0,0.1,LE,LE,3000047258
60449848,EUR/GBP,15000,10/23/2013 22:20:00,10/24/2013 09:06:00,0.85485,0.85135,Long,84.89,0,0,0,0,84.89,LE,LE,3000047258
60559721,AUD/USD,2000,10/29/2013 13:02:00,11/08/2013 08:55:00,0.93835,0.94812,Long,-19.54,0,0,1.02,0,-18.52,LE,SE,3000047258
60651435,GBP/CAD,10000,11/01/2013 08:47:00,11/01/2013 09:35:00,1.66433,1.66653,Short,-21.08,0,0,0,0,-21.08,LE,SE,3000047258
60741147,GBP/CAD,8000,11/06/2013 11:26:00,11/07/2013 07:00:00,1.67189,1.67457,Long,-20.6,0,0,-1.44,0,-22.04,LE,SE,3000047258
60858695,GBP/USD,5000,11/12/2013 08:11:00,11/12/2013 09:53:00,1.59041,1.59435,Short,-19.7,0,0,0,0,-19.7,LE,SE,3000047258
