Ticket #,Symbol,Volume,Date,Sold,Bought,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Condition,Created By
53308908,EUR/USD,"14,000",1/28/13 4:03 AM,1.34308, , , , , , , ,Mkt,3000047258
 , , ,1/28/13 4:13 AM, ,1.34409,-14.14,0.00,0.00,0.00,0.00,-14.14,SE,3000047258
53310187,EUR/USD,"14,000",1/28/13 5:16 AM,1.34472, , , , , , , ,Mkt,3000047258
 , , ,1/28/13 5:50 AM, ,1.34518,-6.44,0.00,0.00,0.00,0.00,-6.44,Mkt,3000047258
53338453,EUR/USD,"14,000",1/29/13 3:36 AM,1.34480, , , , , , , ,Mkt,3000047258
 , , ,1/29/13 3:37 AM, ,1.34583,-14.42,0.00,0.00,0.00,0.00,-14.42,SE,3000047258
53338470,EUR/USD,"14,000",1/29/13 3:37 AM,1.34565, , , , , , , ,Mkt,3000047258
 , , ,1/29/13 3:59 AM, ,1.34560,0.70,0.00,0.00,0.00,0.00,0.70,Mkt,3000047258
53339348,EUR/USD,"7,000",1/29/13 4:40 AM, ,1.34505, , , , , , ,Mkt,3000047258
 , , ,1/29/13 4:52 AM,1.34402, ,-7.21,0.00,0.00,0.00,0.00,-7.21,SE,3000047258
53339864,EUR/USD,"5,000",1/29/13 5:21 AM,1.34518, , , , , , , ,Mkt,3000047258
 , , ,1/29/13 5:30 AM, ,1.34450,3.40,0.00,0.00,0.00,0.00,3.40,Mkt,3000047258
53340230,EUR/USD,"10,000",1/29/13 5:46 AM, ,1.34378, , , , , , ,Mkt,3000047258
 , , ,1/29/13 5:48 AM,1.34276, ,-10.20,0.00,0.00,0.00,0.00,-10.20,SE,3000047258
53357163,EUR/USD,"5,000",1/30/13 5:48 AM,1.35450, , , , , , , ,LE,3000047258
 , , ,1/30/13 10:05 AM, ,1.35703,-12.65,0.00,0.00,0.00,0.00,-12.65,SE,3000047258
53397553,EUR/USD,"6,000",1/31/13 3:49 AM,1.35521, , , , , , , ,Mkt,3000047258
 , , ,1/31/13 3:52 AM, ,1.35520,0.06,0.00,0.00,0.00,0.00,0.06,Mkt,3000047258
53397671,EUR/USD,"6,000",1/31/13 3:56 AM, ,1.35620, , , , , , ,Mkt,3000047258
 , , ,1/31/13 4:03 AM,1.35520, ,-6.00,0.00,0.00,0.00,0.00,-6.00,SE,3000047258
53398436,AUD/USD,"10,000",1/31/13 4:46 AM,1.04230, , , , , , , ,Mkt,3000047258
 , , ,1/31/13 5:58 AM, ,1.04125,10.50,0.00,0.00,0.00,0.00,10.50,Mkt,3000047258
53473612,EUR/GBP,"6,000",2/4/13 3:57 AM,0.86501, , , , , , , ,Mkt,3000047258
 , , ,2/4/13 5:48 AM, ,0.86300,18.98,0.00,0.00,0.00,0.00,18.98,Mkt,3000047258
53474774,GBP/AUD,"5,000",2/4/13 4:51 AM,1.50972, , , , , , , ,Mkt,3000047258
 , , ,2/4/13 8:23 AM, ,1.50720,13.14,0.00,0.00,0.00,0.00,13.14,Mkt,3000047258
53478017,USD/CAD,"5,000",2/4/13 7:22 AM,0.99541, , , , , , , ,Mkt,3000047258
 , , ,2/4/13 10:18 AM, ,0.99815,-13.73,0.00,0.00,0.00,0.00,-13.73,SE,3000047258
53499265,EUR/JPY,"9,000",2/4/13 7:52 PM,124.490, , , , , , , ,Mkt,3000047258
 , , ,2/4/13 8:07 PM, ,124.645,-15.11,0.00,0.00,0.00,0.00,-15.11,SE,3000047258
53500192,CAD/JPY,"1,000",2/4/13 8:20 PM, ,92.669, , , , , , ,Mkt,3000047258
 , , ,2/4/13 9:29 PM,92.512, ,-1.70,0.00,0.00,0.00,0.00,-1.70,SE,3000047258
53510209,EUR/GBP,"9,000",2/5/13 3:48 AM, ,0.85877, , , , , , ,Mkt,3000047258
 , , ,2/5/13 4:25 AM,0.85777, ,-14.20,0.00,0.00,0.00,0.00,-14.20,Mkt,3000047258
53512450,EUR/AUD,"1,000",2/5/13 5:02 AM, ,1.29944, , , , , , ,Mkt,3000047258
 , , ,2/5/13 5:17 AM,1.29998, ,0.56,0.00,0.00,0.00,0.00,0.56,Mkt,3000047258
53513511,EUR/CAD,"1,000",2/5/13 5:45 AM, ,1.35270, , , , , , ,Mkt,3000047258
 , , ,2/5/13 6:17 AM,1.35322, ,0.52,0.00,0.00,0.00,0.00,0.52,LE,3000047258
53541780,EUR/CAD,"1,000",2/5/13 8:12 PM, ,1.35341, , , , , , ,Mkt,3000047258
 , , ,2/5/13 8:42 PM,1.35395, ,0.54,0.00,0.00,0.00,0.00,0.54,LE,3000047258
53551806,EUR/USD,"1,000",2/6/13 3:31 AM,1.35366, , , , , , , ,Mkt,3000047258
 , , ,2/6/13 4:13 AM, ,1.35439,-0.73,0.00,0.00,0.00,0.00,-0.73,Mkt,3000047258
53553194,EUR/GBP,"1,000",2/6/13 4:46 AM,0.86400, , , , , , , ,Mkt,3000047258
 , , ,2/6/13 6:09 AM, ,0.86342,0.91,0.00,0.00,0.00,0.00,0.91,Mkt,3000047258
53574887,EUR/AUD,"1,000",2/6/13 7:45 PM, ,1.31121, , , , , , ,Mkt,3000047258
 , , ,2/6/13 7:52 PM,1.31181, ,0.62,0.00,0.00,0.00,0.00,0.62,Mkt,3000047258
53582678,EUR/AUD,"1,000",2/7/13 3:12 AM, ,1.31032, , , , , , ,Mkt,3000047258
 , , ,2/7/13 3:16 AM,1.31084, ,0.54,0.00,0.00,0.00,0.00,0.54,LE,3000047258
53582975,USD/JPY,"1,000",2/7/13 3:22 AM, ,93.633, , , , , , ,Mkt,3000047258
 , , ,2/7/13 3:24 AM,93.692, ,0.63,0.00,0.00,0.00,0.00,0.63,LE,3000047258
53583812,AUD/USD,"1,000",2/7/13 3:48 AM,1.03169, , , , , , , ,Mkt,3000047258
 , , ,2/7/13 4:37 AM, ,1.03231,-0.62,0.00,0.00,0.00,0.00,-0.62,Mkt,3000047258
53586138,EUR/AUD,"1,000",2/7/13 5:25 AM, ,1.31284, , , , , , ,Mkt,3000047258
 , , ,2/7/13 5:47 AM,1.31288, ,0.04,0.00,0.00,0.00,0.00,0.04,Mkt,3000047258
53659578,GBP/USD,"1,000",2/11/13 3:31 AM,1.57555, , , , , , , ,Mkt,3000047258
 , , ,2/11/13 4:00 AM, ,1.57569,-0.14,0.00,0.00,0.00,0.00,-0.14,Mkt,3000047258
53660621,EUR/GBP,"1,000",2/11/13 4:09 AM, ,0.85067, , , , , , ,Mkt,3000047258
