Ticket #,Symbol,Volume,Date,Sold,Bought,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Condition,Created By
 , , ,6/14/13 4:35 PM,1.33439, ,17.68,0.00,0.00,0.00,0.00,17.68,LE,3000047258
57332577,EUR/USD,"16,000",6/18/13 5:00 PM, ,1.33907, , , , , , ,LE,3000047258
 , , ,6/19/13 2:33 AM,1.34051, ,23.04,0.00,0.00,0.00,0.00,23.04,LE,3000047258
57360734,EUR/USD,"9,000",6/19/13 2:05 PM, ,1.33563, , , , , , ,LE,3000047258
 , , ,6/19/13 2:23 PM,1.33316, ,-22.23,0.00,0.00,0.00,0.00,-22.23,SE,3000047258
57432178,EUR/USD,"17,000",6/20/13 8:16 PM, ,1.32030, , , , , , ,LE,3000047258
 , , ,6/20/13 8:24 PM,1.32170, ,23.80,0.00,0.00,0.00,0.00,23.80,LE,3000047258
57454980,EUR/USD,"16,000",6/21/13 8:47 AM,1.31623, , , , , , , ,LE,3000047258
 , , ,6/21/13 9:41 AM, ,1.31759,-21.76,0.00,0.00,0.00,0.00,-21.76,SE,3000047258
57469404,EUR/USD,"1,000",6/21/13 1:50 PM,1.31547, , , , , , , ,LE,3000047258
 , , ,6/21/13 2:29 PM, ,1.31385,1.62,0.00,0.00,0.00,0.00,1.62,LE,3000047258
57515627,EUR/USD,"22,000",6/24/13 1:00 PM, ,1.30977, , , , , , ,Mkt,3000047258
 , , ,6/24/13 2:07 PM,1.31358, ,83.82,0.00,0.00,0.00,0.00,83.82,LE,3000047258
57547076,EUR/USD,"20,000",6/25/13 12:50 PM,1.30948, , , , , , , ,LE,3000047258
 , , ,6/25/13 12:56 PM, ,1.31038,-18.00,0.00,0.00,0.00,0.00,-18.00,SE,3000047258
57584139,EUR/USD,"13,000",6/26/13 8:56 AM,1.30497, , , , , , , ,LE,3000047258
 , , ,6/26/13 12:00 PM, ,1.30105,50.96,0.00,0.00,0.00,0.00,50.96,SE,3000047258
57606167,EUR/USD,"6,000",6/26/13 10:02 PM,1.30286, , , , , , , ,LE,3000047258
 , , ,6/27/13 12:29 AM, ,1.30362,-4.56,0.00,0.00,0.00,0.00,-4.56,SE,3000047258
57710493,EUR/USD,"21,000",7/1/13 1:39 PM,1.30633, , , , , , , ,LE,3000047258
 , , ,7/1/13 3:07 PM, ,1.30622,2.31,0.00,0.00,0.00,0.00,2.31,Mkt,3000047258
57734657,EUR/USD,"1,000",7/2/13 8:51 AM, ,1.29933, , , , , , ,LE,3000047258
 , , ,7/2/13 8:52 AM,1.29941, ,0.08,0.00,0.00,0.00,0.00,0.08,Mkt,3000047258
57746561,EUR/USD,"23,000",7/2/13 2:39 PM, ,1.29895, , , , , , ,LE,3000047258
 , , ,7/2/13 2:39 PM,1.29788, ,-24.61,0.00,0.00,0.00,0.00,-24.61,SE,3000047258
57878717,EUR/USD,"8,000",7/8/13 10:00 AM,1.28710, , , , , , , ,LE,3000047258
 , , ,7/9/13 2:54 AM, ,1.28995,-22.80,0.00,0.00,0.01,0.00,-22.79,SE,3000047258
57927386,EUR/USD,"19,000",7/9/13 2:19 PM,1.27837, , , , , , , ,LE,3000047258
 , , ,7/9/13 10:05 PM, ,1.27663,33.06,0.00,0.00,0.02,0.00,33.08,LE,3000047258
57950551,EUR/USD,"8,000",7/10/13 10:56 AM,1.28503, , , , , , , ,LE,3000047258
 , , ,7/10/13 2:01 PM, ,1.28914,-32.88,0.00,0.00,0.00,0.00,-32.88,SE,3000047258
58028274,GBP/USD,"8,000",7/11/13 2:54 PM,1.51720, , , , , , , ,LE,3000047258
 , , ,7/11/13 3:00 PM, ,1.52013,-23.44,0.00,0.00,0.00,0.00,-23.44,SE,3000047258
58181279,GBP/USD,"15,000",7/17/13 2:01 PM, ,1.52146, , , , , , ,LE,3000047258
 , , ,7/17/13 3:34 PM,1.52148, ,0.30,0.00,0.00,0.00,0.00,0.30,Mkt,3000047258
58181098,EUR/USD,"28,000",7/17/13 2:32 PM, ,1.31264, , , , , , ,LE,3000047258
 , , ,7/17/13 2:34 PM,1.31179, ,-23.80,0.00,0.00,0.00,0.00,-23.80,SE,3000047258
58214454,EUR/USD,"18,000",7/18/13 1:42 PM,1.31045, , , , , , , ,Mkt,3000047258
 , , ,7/18/13 1:43 PM, ,1.31183,-24.84,0.00,0.00,0.00,0.00,-24.84,SE,3000047258
58285615,EUR/USD,"2,000",7/23/13 5:37 AM, ,1.31684, , , , , , ,LE,3000047258
 , , ,7/23/13 6:19 AM,1.31784, ,2.00,0.00,0.00,0.00,0.00,2.00,LE,3000047258
58312590,EUR/USD,"2,000",7/23/13 9:30 PM, ,1.32177, , , , , , ,LE,3000047258
 , , ,7/23/13 9:48 PM,1.32086, ,-1.82,0.00,0.00,0.00,0.00,-1.82,SE,3000047258
58347710,EUR/USD,"1,000",7/24/13 11:05 AM, ,1.32269, , , , , , ,Mkt,3000047258
 , , ,7/24/13 12:07 PM,1.32145, ,-1.24,0.00,0.00,0.00,0.00,-1.24,SE,3000047258
58562207,EUR/USD,"13,000",8/2/13 8:30 AM,1.32524, , , , , , , ,LE,3000047258
 , , ,8/2/13 8:30 AM, ,1.32772,-32.24,0.00,0.00,0.00,0.00,-32.24,SE,3000047258
58634395,GBP/USD,"12,000",8/5/13 10:09 AM, ,1.53219, , , , , , ,LE,3000047258
 , , ,8/6/13 12:00 PM,1.53606, ,46.44,0.00,0.00,0.11,0.00,46.55,SE,3000047258
58633667,EUR/USD,"18,000",8/6/13 9:18 AM, ,1.32888, , , , , , ,LE,3000047258
 , , ,8/6/13 10:13 AM,1.33042, ,27.72,0.00,0.00,0.00,0.00,27.72,LE,3000047258
58675186,EUR/USD,"18,000",8/6/13 11:00 AM, ,1.33109, , , , , , ,Mkt,3000047258
 , , ,8/6/13 11:56 AM,1.32987, ,-21.96,0.00,0.00,0.00,0.00,-21.96,SE,3000047258
58714014,GBP/USD,"5,000",8/7/13 10:14 AM,1.55194, , , , , , , ,LE,3000047258
 , , ,8/7/13 10:25 AM, ,1.55030,8.20,0.00,0.00,0.00,0.00,8.20,Mkt,3000047258
58715134,EUR/USD,"12,000",8/7/13 10:14 AM,1.33226, , , , , , , ,LE,3000047258
 , , ,8/7/13 11:27 AM, ,1.33302,-9.12,0.00,0.00,0.00,0.00,-9.12,SE,3000047258
58715205,USD/CAD,"12,000",8/7/13 10:14 AM, ,1.04145, , , , , , ,Mkt,3000047258
 , , ,8/8/13 12:48 AM,1.04145, ,0.00,0.00,0.00,-1.04,0.00,-1.04,SE,3000047258
58749118,USD/CAD,"11,000",8/8/13 9:56 AM, ,1.03837, , , , , , ,LE,3000047258
 , , ,8/8/13 10:15 AM,1.03776, ,-6.47,0.00,0.00,0.00,0.00,-6.47,SE,3000047258
58819334,EUR/USD,"21,000",8/12/13 2:06 PM, ,1.32954, , , , , , ,LE,3000047258
 , , ,8/12/13 2:32 PM,1.33058, ,21.84,0.00,0.00,0.00,0.00,21.84,SE,3000047258
58832751,GBP/USD,"17,000",8/12/13 9:57 PM,1.54535, , , , , , , ,Mkt,3000047258
 , , ,8/12/13 11:04 PM, ,1.54654,-20.23,0.00,0.00,0.00,0.00,-20.23,SE,3000047258
58856509,USD/CAD,"30,000",8/13/13 9:25 PM,1.03529, , , , , , , ,LE,3000047258
 , , ,8/13/13 10:39 PM, ,1.03528,0.29,0.00,0.00,0.00,0.00,0.29,Mkt,3000047258
58890073,EUR/USD,"34,000",8/14/13 12:03 PM,1.32552, , , , , , , ,LE,3000047258
 , , ,8/14/13 1:32 PM, ,1.32615,-21.42,0.00,0.00,0.00,0.00,-21.42,SE,3000047258
58923418,GBP/USD,"17,000",8/15/13 10:10 AM, ,1.55309, , , , , , ,Mkt,3000047258
 , , ,8/15/13 10:17 AM,1.55185, ,-21.08,0.00,0.00,0.00,0.00,-21.08,SE,3000047258
58920411,EUR/USD,"2,000",8/15/13 11:13 AM,1.32560, , , , , , , ,LE,3000047258
 , , ,8/15/13 1:13 PM, ,1.32752,-3.84,0.00,0.00,0.00,0.00,-3.84,SE,3000047258
59103597,USD/CAD,"9,000",8/22/13 10:59 AM,1.05084, , , , , , , ,LE,3000047258
 , , ,8/22/13 7:10 PM, ,1.05084,0.00,0.00,0.00,0.13,0.00,0.13,LE,3000047258
59198566,EUR/USD,"11,000",8/27/13 9:25 AM,1.33599, , , , , , , ,LE,3000047258
 , , ,8/27/13 9:35 AM, ,1.33797,-21.78,0.00,0.00,0.00,0.00,-21.78,SE,3000047258
59200650,EUR/USD,"13,000",8/27/13 9:40 AM,1.33814, , , , , , , ,LE,3000047258
 , , ,8/27/13 9:45 AM, ,1.33980,-21.58,0.00,0.00,0.00,0.00,-21.58,SE,3000047258
59199536,GBP/USD,"7,000",8/27/13 9:40 AM,1.55438, , , , , , , ,LE,3000047258
 , , ,8/28/13 8:32 AM, ,1.54695,52.01,0.00,0.00,-0.13,0.00,51.88,SE,3000047258
59251683,GBP/USD,"14,000",8/28/13 10:56 PM,1.55413, , , , , , , ,LE,3000047258
 , , ,8/29/13 2:46 AM, ,1.55113,42.00,0.00,0.00,0.00,0.00,42.00,LE,3000047258
59100426,EUR/USD,"8,000",8/29/13 2:48 AM, ,1.32703, , , , , , ,LE,3000047258
 , , ,8/29/13 6:14 AM,1.32457, ,-19.68,0.00,0.00,0.00,0.00,-19.68,SE,3000047258
59430260,EUR/USD,"11,000",9/5/13 9:26 AM,1.31626, , , , , , , ,LE,3000047258
 , , ,9/5/13 3:34 PM, ,1.31222,44.44,0.00,0.00,0.00,0.00,44.44,Mkt,3000047258
59456223,USD/CAD,"2,000",9/6/13 8:27 AM,1.04458, , , , , , , ,LE,3000047258
 , , ,9/6/13 8:30 AM, ,1.03974,9.31,0.00,0.00,0.00,0.00,9.31,Mkt,3000047258
59461749,GBP/USD,"5,000",9/6/13 9:26 AM,1.56385, , , , , , , ,LE,3000047258
 , , ,9/6/13 1:56 PM, ,1.56279,5.30,0.00,0.00,0.00,0.00,5.30,Mkt,3000047258
59459878,EUR/USD,"5,000",9/6/13 9:26 AM,1.31480, , , , , , , ,LE,3000047258
 , , ,9/6/13 9:40 AM, ,1.31452,1.40,0.00,0.00,0.00,0.00,1.40,Mkt,3000047258
59499597,GBP/USD,"2,000",9/9/13 9:52 AM,1.56898, , , , , , , ,Mkt,3000047258
 , , ,9/11/13 4:30 AM, ,1.58152,-25.08,0.00,0.00,-0.08,0.00,-25.16,SE,3000047258
59496065,EUR/USD,"14,000",9/9/13 10:19 AM,1.32201, , , , , , , ,LE,3000047258
 , , ,9/9/13 10:22 AM, ,1.32359,-22.12,0.00,0.00,0.00,0.00,-22.12,SE,3000047258
59532172,USD/CAD,"29,000",9/10/13 8:52 AM,1.03443, , , , , , , ,LE,3000047258
 , , ,9/10/13 9:31 AM, ,1.03522,-22.13,0.00,0.00,0.00,0.00,-22.13,SE,3000047258
59664696,GBP/USD,"18,000",9/16/13 1:16 PM, ,1.59081, , , , , , ,LE,3000047258
 , , ,9/16/13 2:57 PM,1.58969, ,-20.16,0.00,0.00,0.00,0.00,-20.16,SE,3000047258
59664506,GBP/USD,"11,000",9/17/13 6:13 AM, ,1.58884, , , , , , ,LE,3000047258
 , , ,9/17/13 11:54 AM,1.58995, ,12.21,0.00,0.00,0.00,0.00,12.21,Mkt,3000047258
59685173,EUR/USD,"18,000",9/17/13 9:17 AM, ,1.33567, , , , , , ,Mkt,3000047258
 , , ,9/17/13 9:46 AM,1.33445, ,-21.96,0.00,0.00,0.00,0.00,-21.96,SE,3000047258
59690008,GBP/USD,"16,000",9/17/13 12:47 PM,1.59065, , , , , , , ,LE,3000047258
 , , ,9/17/13 4:24 PM, ,1.59063,0.32,0.00,0.00,0.00,0.00,0.32,Mkt,3000047258
59744597,EUR/USD,"15,000",9/19/13 8:30 AM, ,1.35312, , , , , , ,LE,3000047258
 , , ,9/19/13 12:40 PM,1.35151, ,-24.15,0.00,0.00,0.00,0.00,-24.15,SE,3000047258
59809683,GBP/USD,"8,000",9/23/13 12:09 PM,1.60469, , , , , , , ,LE,3000047258
 , , ,9/23/13 4:31 PM, ,1.60468,0.08,0.00,0.00,0.00,0.00,0.08,Mkt,3000047258
59830117,EUR/USD,"12,000",9/24/13 8:18 AM, ,1.34669, , , , , , ,Mkt,3000047258
 , , ,9/24/13 9:52 AM,1.34880, ,25.32,0.00,0.00,0.00,0.00,25.32,LE,3000047258
59832046,GBP/USD,"12,000",9/24/13 9:52 AM,1.59846, , , , , , , ,LE,3000047258
 , , ,9/24/13 11:39 AM, ,1.60018,-20.64,0.00,0.00,0.00,0.00,-20.64,SE,3000047258
59839376,USD/CAD,"13,000",9/25/13 2:43 AM,1.03087, , , , , , , ,LE,3000047258
 , , ,9/25/13 1:40 PM, ,1.03079,1.01,0.00,0.00,0.00,0.00,1.01,SE,3000047258
59858690,GBP/USD,"7,000",9/25/13 10:00 AM,1.60728, , , , , , , ,LE,3000047258
 , , ,9/26/13 4:36 AM, ,1.60399,23.03,0.00,0.00,-0.38,0.00,22.65,LE,3000047258
59887828,EUR/USD,"25,000",9/26/13 10:00 AM,1.35080, , , , , , , ,LE,3000047258
 , , ,9/26/13 10:09 AM, ,1.34969,27.75,0.00,0.00,0.00,0.00,27.75,LE,3000047258
59886497,GBP/USD,"13,000",9/26/13 10:16 AM, ,1.60125, , , , , , ,LE,3000047258
 , , ,9/26/13 2:32 PM,1.60329, ,26.52,0.00,0.00,0.00,0.00,26.52,Mkt,3000047258
59893899,USD/CAD,"16,000",9/26/13 11:59 AM, ,1.03215, , , , , , ,LE,3000047258
 , , ,9/26/13 4:35 PM,1.03081, ,-20.80,0.00,0.00,0.00,0.00,-20.80,SE,3000047258
59946978,EUR/USD,"10,000",9/30/13 8:47 AM,1.35476, , , , , , , ,LE,3000047258
 , , ,9/30/13 10:34 AM, ,1.35259,21.70,0.00,0.00,0.00,0.00,21.70,Mkt,3000047258
59955743,EUR/USD,"9,000",10/1/13 2:42 AM,1.35753, , , , , , , ,LE,3000047258
 , , ,10/1/13 4:50 AM, ,1.35502,22.59,0.00,0.00,0.00,0.00,22.59,LE,3000047258
59984929,GBP/USD,"14,000",10/1/13 9:54 AM, ,1.62140, , , , , , ,LE,3000047258
 , , ,10/1/13 10:00 AM,1.61967, ,-24.22,0.00,0.00,0.00,0.00,-24.22,SE,3000047258
60012765,EUR/USD,"11,000",10/2/13 10:02 PM,1.36184, , , , , , , ,LE,3000047258
 , , ,10/3/13 6:17 AM, ,1.36091,10.23,0.00,0.00,0.00,0.00,10.23,Mkt,3000047258
60055859,EUR/USD,"10,000",10/4/13 3:19 AM, ,1.36142, , , , , , ,LE,3000047258
 , , ,10/4/13 6:24 AM,1.35924, ,-21.80,0.00,0.00,0.00,0.00,-21.80,SE,3000047258
60045554,GBP/USD,"7,000",10/4/13 4:02 AM, ,1.61196, , , , , , ,LE,3000047258
 , , ,10/4/13 4:45 AM,1.60882, ,-21.98,0.00,0.00,0.00,0.00,-21.98,SE,3000047258
60138760,AUD/USD,"12,000",10/8/13 10:59 AM, ,0.94552, , , , , , ,LE,3000047258
 , , ,10/8/13 12:06 PM,0.94383, ,-20.28,0.00,0.00,0.00,0.00,-20.28,SE,3000047258
60176053,GBP/USD,"21,000",10/9/13 3:39 PM, ,1.59552, , , , , , ,LE,3000047258
 , , ,10/9/13 9:10 PM,1.59459, ,-19.53,0.00,0.00,0.76,0.00,-18.77,SE,3000047258
60175202,AUD/USD,"19,000",10/9/13 8:30 PM,0.94633, , , , , , , ,LE,3000047258
 , , ,10/9/13 9:17 PM, ,0.94316,60.23,0.00,0.00,0.00,0.00,60.23,Mkt,3000047258
60198841,AUD/USD,"19,000",10/10/13 11:21 AM,0.94629, , , , , , , ,LE,3000047258
 , , ,10/10/13 9:56 PM, ,0.94748,-22.61,0.00,0.00,-1.69,0.00,-24.30,SE,3000047258
60200223,GBP/USD,"11,000",10/10/13 11:27 AM,1.59688, , , , , , , ,LE,3000047258
 , , ,10/10/13 8:14 PM, ,1.59686,0.22,0.00,0.00,-0.20,0.00,0.02,LE,3000047258
60213039,AUD/USD,"13,000",10/10/13 10:05 PM, ,0.94727, , , , , , ,Mkt,3000047258
 , , ,10/11/13 9:00 AM,0.94553, ,-22.62,0.00,0.00,0.00,0.00,-22.62,SE,3000047258
60258239,GBP/USD,"1,000",10/14/13 8:53 PM, ,1.59603, , , , , , ,LE,3000047258
 , , ,10/14/13 9:21 PM,1.59828, ,2.25,0.00,0.00,0.00,0.00,2.25,LE,3000047258
60283664,USD/CHF,"12,000",10/16/13 7:32 AM, ,0.91043, , , , , , ,LE,3000047258
 , , ,10/16/13 11:08 AM,0.91578, ,70.10,0.00,0.00,0.00,0.00,70.10,SE,3000047258
60358537,AUD/USD,"14,000",10/17/13 9:57 PM,0.96179, , , , , , , ,LE,3000047258
 , , ,10/17/13 10:00 PM, ,0.96309,-18.20,0.00,0.00,0.00,0.00,-18.20,SE,3000047258
60370100,AUD/NZD,"11,000",10/18/13 10:33 AM, ,1.13765, , , , , , ,LE,3000047258
 , , ,10/18/13 3:54 PM,1.13918, ,14.28,0.00,0.00,0.00,0.00,14.28,LE,3000047258
60413319,AUD/USD,"18,000",10/22/13 8:42 AM, ,0.96980, , , , , , ,LE,3000047258
 , , ,10/22/13 8:53 AM,0.96855, ,-22.50,0.00,0.00,0.00,0.00,-22.50,SE,3000047258
60449508,NZD/USD,"10,000",10/23/13 10:59 AM,0.83897, , , , , , , ,LE,3000047258
 , , ,10/23/13 12:05 PM, ,0.83896,0.10,0.00,0.00,0.00,0.00,0.10,LE,3000047258
60449848,EUR/GBP,"15,000",10/23/13 10:20 PM, ,0.85135, , , , , , ,LE,3000047258
 , , ,10/24/13 9:06 AM,0.85485, ,84.89,0.00,0.00,0.00,0.00,84.89,LE,3000047258
60559721,AUD/USD,"2,000",10/29/13 1:02 PM, ,0.94812, , , , , , ,LE,3000047258
 , , ,11/8/13 8:55 AM,0.93835, ,-19.54,0.00,0.00,1.02,0.00,-18.52,SE,3000047258
60651435,GBP/CAD,"10,000",11/1/13 8:47 AM,1.66433, , , , , , , ,LE,3000047258
 , , ,11/1/13 9:35 AM, ,1.66653,-21.08,0.00,0.00,0.00,0.00,-21.08,SE,3000047258
60741147,GBP/CAD,"8,000",11/6/13 11:26 AM, ,1.67457, , , , , , ,LE,3000047258
 , , ,11/7/13 7:00 AM,1.67189, ,-20.60,0.00,0.00,-1.44,0.00,-22.04,SE,3000047258
60858695,GBP/USD,"5,000",11/12/13 8:11 AM,1.59041, , , , , , , ,LE,3000047258
 , , ,11/12/13 9:53 AM, ,1.59435,-19.70,0.00,0.00,0.00,0.00,-19.70,SE,3000047258
60939396,GBP/AUD,"9,000",11/14/13 10:55 PM, ,1.71862, , , , , , ,LE,3000047258
 , , ,11/15/13 1:09 AM,1.72239, ,31.66,0.00,0.00,0.00,0.00,31.66,LE,3000047258
60978108,GBP/NZD,"10,000",11/18/13 8:53 AM,1.92579, , , , , , , ,LE,3000047258
 , , ,11/18/13 10:11 AM, ,1.92816,-19.82,0.00,0.00,0.00,0.00,-19.82,SE,3000047258
60981922,NZD/USD,"13,000",11/18/13 10:58 AM, ,0.83610, , , , , , ,LE,3000047258
 , , ,11/18/13 2:47 PM,0.83439, ,-22.23,0.00,0.00,0.00,0.00,-22.23,SE,3000047258
61063150,GBP/AUD,"4,000",11/20/13 10:30 PM, ,1.72819, , , , , , ,LE,3000047258
 , , ,11/21/13 2:21 AM,1.73100, ,10.45,0.00,0.00,0.00,0.00,10.45,LE,3000047258
61083928,AUD/USD,"5,000",11/21/13 2:49 PM,0.92259, , , , , , , ,LE,3000047258
 , , ,11/21/13 11:09 PM, ,0.91977,14.10,0.00,0.00,-0.42,0.00,13.68,SE,3000047258
61083811,EUR/AUD,"4,000",11/21/13 8:08 PM, ,1.45746, , , , , , ,LE,3000047258
 , , ,11/21/13 10:40 PM,1.46641, ,32.86,0.00,0.00,0.00,0.00,32.86,LE,3000047258
61107652,AUD/NZD,"8,000",11/22/13 9:15 AM,1.12612, , , , , , , ,LE,3000047258
 , , ,11/22/13 11:04 AM, ,1.12343,17.55,0.00,0.00,0.00,0.00,17.55,Mkt,3000047258
61123122,EUR/CAD,"10,000",11/24/13 9:14 PM, ,1.42893, , , , , , ,LE,3000047258
 , , ,11/25/13 2:53 AM,1.43234, ,32.23,0.00,0.00,0.00,0.00,32.23,Mkt,3000047258
61137874,USD/CHF,"7,000",11/25/13 11:13 AM,0.91272, , , , , , , ,LE,3000047258
 , , ,11/25/13 7:02 PM, ,0.91094,13.68,0.00,0.00,-0.09,0.00,13.59,Mkt,3000047258
61151492,USD/CHF,"7,000",11/25/13 11:13 AM,0.91272, , , , , , , ,LE,3000047258
 , , ,11/25/13 9:50 PM, ,0.91130,10.91,0.00,0.00,-0.08,0.00,10.83,SE,3000047258
61152491,EUR/GBP,"8,000",11/25/13 9:46 PM,0.83740, , , , , , , ,LE,3000047258
 , , ,11/26/13 4:48 AM, ,0.83728,1.55,0.00,0.00,0.00,0.00,1.55,Mkt,3000047258
61165870,AUD/USD,"10,000",11/26/13 9:21 AM,0.90969, , , , , , , ,LE,3000047258
 , , ,11/26/13 10:58 AM, ,0.91196,-22.70,0.00,0.00,0.00,0.00,-22.70,SE,3000047258
61172863,USD/JPY,"1,000",11/26/13 1:00 PM,101.259, , , , , , , ,Mkt,3000047258
 , , ,11/26/13 1:06 PM, ,101.240,0.19,0.00,0.00,0.00,0.00,0.19,LE,3000047258
61247821,EUR/GBP,"12,000",12/2/13 12:55 AM,0.82881, , , , , , , ,LE,3000047258
 , , ,12/3/13 6:02 AM, ,0.82650,45.50,0.00,0.00,0.10,0.00,45.60,LE,3000047258
61244834,GBP/CAD,"9,000",12/2/13 2:02 AM, ,1.74208, , , , , , ,LE,3000047258
 , , ,12/2/13 6:41 AM,1.74292, ,7.10,0.00,0.00,0.00,0.00,7.10,SE,3000047258
61243134,GBP/USD,"7,000",12/2/13 4:27 AM, ,1.63836, , , , , , ,LE,3000047258
 , , ,12/2/13 6:23 AM,1.63826, ,-0.70,0.00,0.00,0.00,0.00,-0.70,SE,3000047258
61260729,GBP/CHF,"7,000",12/2/13 8:55 AM, ,1.48796, , , , , , ,LE,3000047258
 , , ,12/2/13 10:41 AM,1.48465, ,-25.55,0.00,0.00,0.00,0.00,-25.55,SE,3000047258
61243713,AUD/CAD,"6,000",12/2/13 8:57 AM, ,0.97032, , , , , , ,LE,3000047258
 , , ,12/2/13 11:26 AM,0.96697, ,-18.90,0.00,0.00,0.00,0.00,-18.90,SE,3000047258
61293600,EUR/CAD,"6,000",12/3/13 9:37 AM, ,1.44692, , , , , , ,Mkt,3000047258
 , , ,12/3/13 10:32 AM,1.44884, ,10.80,0.00,0.00,0.00,0.00,10.80,Mkt,3000047258
61295586,EUR/CAD,"6,000",12/3/13 9:37 AM, ,1.44692, , , , , , ,Mkt,3000047258
 , , ,12/3/13 2:59 PM,1.44719, ,1.52,0.00,0.00,0.00,0.00,1.52,SE,3000047258
61293208,AUD/NZD,"7,000",12/3/13 10:18 AM,1.10727, , , , , , , ,LE,3000047258
 , , ,12/3/13 5:01 PM, ,1.11157,-24.80,0.00,0.00,0.01,0.00,-24.79,SE,3000047258
61307064,EUR/AUD,"7,000",12/3/13 7:52 PM,1.49737, , , , , , , ,LE,3000047258
 , , ,12/3/13 8:08 PM, ,1.49578,10.11,0.00,0.00,0.00,0.00,10.11,Mkt,3000047258
61307795,EUR/AUD,"7,000",12/3/13 7:52 PM,1.49737, , , , , , , ,LE,3000047258
 , , ,12/3/13 8:39 PM, ,1.49910,-10.98,0.00,0.00,0.00,0.00,-10.98,SE,3000047258
61310281,GBP/CHF,"8,000",12/4/13 3:35 AM, ,1.48150, , , , , , ,LE,3000047258
 , , ,12/4/13 4:28 AM,1.47658, ,-43.49,0.00,0.00,0.00,0.00,-43.49,SE,3000047258
61321751,EUR/USD,"14,000",12/4/13 8:44 AM, ,1.35559, , , , , , ,LE,3000047258
 , , ,12/4/13 9:01 AM,1.35396, ,-22.82,0.00,0.00,0.00,0.00,-22.82,SE,3000047258
61419201,EUR/CAD,"4,000",12/9/13 11:38 AM, ,1.45979, , , , , , ,LE,3000047258
 , , ,12/9/13 1:48 PM,1.46204, ,8.46,0.00,0.00,0.00,0.00,8.46,Mkt,3000047258
61422400,EUR/CAD,"5,000",12/9/13 11:38 AM, ,1.45979, , , , , , ,LE,3000047258
 , , ,12/9/13 1:49 PM,1.46199, ,10.34,0.00,0.00,0.00,0.00,10.34,SE,3000047258
61422692,GBP/CAD,"12,000",12/9/13 2:03 PM, ,1.74844, , , , , , ,Mkt,3000047258
 , , ,12/9/13 4:50 PM,1.74622, ,-25.06,0.00,0.00,0.00,0.00,-25.06,SE,3000047258
61440067,GBP/NZD,"1,000",12/10/13 8:46 AM,1.97805, , , , , , , ,Mkt,3000047258
 , , ,12/10/13 8:49 AM, ,1.97799,0.05,0.00,0.00,0.00,0.00,0.05,Mkt,3000047258
61447505,EUR/CAD,"11,000",12/10/13 1:11 PM, ,1.46079, , , , , , ,LE,3000047258
 , , ,12/10/13 4:57 PM,1.45881, ,-20.54,0.00,0.00,0.00,0.00,-20.54,SE,3000047258
61449490,AUD/USD,"9,000",12/10/13 2:31 PM, ,0.91534, , , , , , ,Mkt,3000047258
 , , ,12/10/13 4:27 PM,0.91560, ,2.34,0.00,0.00,0.00,0.00,2.34,Mkt,3000047258
61543177,EUR/JPY,"7,000",12/15/13 7:03 PM, ,141.844, , , , , , ,LE,3000047258
 , , ,12/15/13 9:37 PM,141.564, ,-19.05,0.00,0.00,0.00,0.00,-19.05,SE,3000047258
61863791,NZD/USD,"1,000",1/3/14 9:22 AM,0.82993, , , , , , , ,Mkt,3000047258
 , , ,1/3/14 11:06 AM, ,0.82985,0.08,0.00,0.00,0.00,0.00,0.08,Mkt,3000047258
61900535,USD/DKK,"20,000",1/6/14 10:52 AM, ,5.46988, , , , , , ,LE,3000047258
 , , ,1/6/14 1:09 PM,5.46358, ,-23.06,0.00,0.00,0.00,0.00,-23.06,SE,3000047258
61926616,EUR/USD,"7,000",1/7/14 10:04 AM, ,1.36023, , , , , , ,LE,3000047258
 , , ,1/7/14 12:47 PM,1.36307, ,19.88,0.00,0.00,0.00,0.00,19.88,Mkt,3000047258
61932303,EUR/USD,"6,000",1/7/14 10:04 AM, ,1.36023, , , , , , ,LE,3000047258
 , , ,1/7/14 2:05 PM,1.36120, ,5.82,0.00,0.00,0.00,0.00,5.82,SE,3000047258
61953959,AUD/USD,"14,000",1/8/14 9:13 AM,0.89372, , , , , , , ,LE,3000047258
 , , ,1/8/14 10:03 AM, ,0.89535,-22.82,0.00,0.00,0.00,0.00,-22.82,SE,3000047258
61955457,GBP/USD,"12,000",1/8/14 10:03 AM,1.64597, , , , , , , ,LE,3000047258
 , , ,1/8/14 11:39 AM, ,1.64595,0.24,0.00,0.00,0.00,0.00,0.24,LE,3000047258
62017303,GBP/USD,"12,000",1/10/14 12:24 PM, ,1.64634, , , , , , ,LE,3000047258
 , , ,1/10/14 3:42 PM,1.64819, ,22.20,0.00,0.00,0.00,0.00,22.20,LE,3000047258
62081203,GBP/CAD,"1,000",1/14/14 9:30 AM,1.79233, , , , , , , ,Mkt,3000047258
 , , ,1/14/14 9:31 AM, ,1.79234,-0.01,0.00,0.00,0.00,0.00,-0.01,Mkt,3000047258
62081268,GBP/CAD,"12,000",1/14/14 9:50 AM,1.79330, , , , , , , ,LE,3000047258
 , , ,1/14/14 9:56 AM, ,1.79520,-20.86,0.00,0.00,0.00,0.00,-20.86,SE,3000047258
62093549,EUR/USD,"11,000",1/14/14 8:34 PM, ,1.36575, , , , , , ,LE,3000047258
