Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
57710493,EUR/USD,21000,07/01/2013 13:39:00,07/01/2013 15:07:00,1.30633,1.30622,Short,2.31,0,0,0,0,2.31,LE,Mkt,3000047258
57734657,EUR/USD,1000,07/02/2013 08:51:00,07/02/2013 08:52:00,1.29941,1.29933,Long,0.08,0,0,0,0,0.08,LE,Mkt,3000047258
57746561,EUR/USD,23000,07/02/2013 14:39:00,07/02/2013 14:39:00,1.29788,1.29895,Long,-24.61,0,0,0,0,-24.61,LE,SE,3000047258
57878717,EUR/USD,8000,07/08/2013 10:00:00,07/09/2013 02:54:00,1.2871,1.28995,Short,-22.8,0,0,0.01,0,-22.79,LE,SE,3000047258
57927386,EUR/USD,19000,07/09/2013 14:19:00,07/09/2013 22:05:00,1.27837,1.27663,Short,33.06,0,0,0.02,0,33.08,LE,LE,3000047258
57950551,EUR/USD,8000,07/10/2013 10:56:00,07/10/2013 14:01:00,1.28503,1.28914,Short,-32.88,0,0,0,0,-32.88,LE,SE,3000047258
58028274,GBP/USD,8000,07/11/2013 14:54:00,07/11/2013 15:00:00,1.5172,1.52013,Short,-23.44,0,0,0,0,-23.44,LE,SE,3000047258
58181279,GBP/USD,15000,07/17/2013 14:01:00,07/17/2013 15:34:00,1.52148,1.52146,Long,0.3,0,0,0,0,0.3,LE,Mkt,3000047258
58181098,EUR/USD,28000,07/17/2013 14:32:00,07/17/2013 14:34:00,1.31179,1.31264,Long,-23.8,0,0,0,0,-23.8,LE,SE,3000047258
58214454,EUR/USD,18000,07/18/2013 13:42:00,07/18/2013 13:43:00,1.31045,1.31183,Short,-24.84,0,0,0,0,-24.84,Mkt,SE,3000047258
58285615,EUR/USD,2000,07/23/2013 05:37:00,07/23/2013 06:19:00,1.31784,1.31684,Long,2,0,0,0,0,2,LE,LE,3000047258
58312590,EUR/USD,2000,07/23/2013 21:30:00,07/23/2013 21:48:00,1.32086,1.32177,Long,-1.82,0,0,0,0,-1.82,LE,SE,3000047258
58347710,EUR/USD,1000,07/24/2013 11:05:00,07/24/2013 12:07:00,1.32145,1.32269,Long,-1.24,0,0,0,0,-1.24,Mkt,SE,3000047258
58562207,EUR/USD,13000,08/02/2013 08:30:00,08/02/2013 08:30:00,1.32524,1.32772,Short,-32.24,0,0,0,0,-32.24,LE,SE,3000047258
58634395,GBP/USD,12000,08/05/2013 10:09:00,08/06/2013 12:00:00,1.53606,1.53219,Long,46.44,0,0,0.11,0,46.55,LE,SE,3000047258
58633667,EUR/USD,18000,08/06/2013 09:18:00,08/06/2013 10:13:00,1.33042,1.32888,Long,27.72,0,0,0,0,27.72,LE,LE,3000047258
58675186,EUR/USD,18000,08/06/2013 11:00:00,08/06/2013 11:56:00,1.32987,1.33109,Long,-21.96,0,0,0,0,-21.96,Mkt,SE,3000047258
58714014,GBP/USD,5000,08/07/2013 10:14:00,08/07/2013 10:25:00,1.55194,1.5503,Short,8.2,0,0,0,0,8.2,LE,Mkt,3000047258
58715134,EUR/USD,12000,08/07/2013 10:14:00,08/07/2013 11:27:00,1.33226,1.33302,Short,-9.12,0,0,0,0,-9.12,LE,SE,3000047258
58715205,USD/CAD,12000,08/07/2013 10:14:00,08/08/2013 00:48:00,1.04145,1.04145,Long,0,0,0,-1.04,0,-1.04,Mkt,SE,3000047258
58749118,USD/CAD,11000,08/08/2013 09:56:00,08/08/2013 10:15:00,1.03776,1.03837,Long,-6.47,0,0,0,0,-6.47,LE,SE,3000047258
58819334,EUR/USD,21000,08/12/2013 14:06:00,08/12/2013 14:32:00,1.33058,1.32954,Long,21.84,0,0,0,0,21.84,LE,SE,3000047258
58832751,GBP/USD,17000,08/12/2013 21:57:00,08/12/2013 23:04:00,1.54535,1.54654,Short,-20.23,0,0,0,0,-20.23,Mkt,SE,3000047258
58856509,USD/CAD,30000,08/13/2013 21:25:00,08/13/2013 22:39:00,1.03529,1.03528,Short,0.29,0,0,0,0,0.29,LE,Mkt,3000047258
58890073,EUR/USD,34000,08/14/2013 12:03:00,08/14/2013 13:32:00,1.32552,1.32615,Short,-21.42,0,0,0,0,-21.42,LE,SE,3000047258
58923418,GBP/USD,17000,08/15/2013 10:10:00,08/15/2013 10:17:00,1.55185,1.55309,Long,-21.08,0,0,0,0,-21.08,Mkt,SE,3000047258
58920411,EUR/USD,2000,08/15/2013 11:13:00,08/15/2013 13:13:00,1.3256,1.32752,Short,-3.84,0,0,0,0,-3.84,LE,SE,3000047258
59103597,USD/CAD,9000,08/22/2013 10:59:00,08/22/2013 19:10:00,1.05084,1.05084,Short,0,0,0,0.13,0,0.13,LE,LE,3000047258
59198566,EUR/USD,11000,08/27/2013 09:25:00,08/27/2013 09:35:00,1.33599,1.33797,Short,-21.78,0,0,0,0,-21.78,LE,SE,3000047258
59199536,GBP/USD,7000,08/27/2013 09:40:00,08/28/2013 08:32:00,1.55438,1.54695,Short,52.01,0,0,-0.13,0,51.88,LE,SE,3000047258
59200650,EUR/USD,13000,08/27/2013 09:40:00,08/27/2013 09:45:00,1.33814,1.3398,Short,-21.58,0,0,0,0,-21.58,LE,SE,3000047258
59251683,GBP/USD,14000,08/28/2013 22:56:00,08/29/2013 02:46:00,1.55413,1.55113,Short,42,0,0,0,0,42,LE,LE,3000047258
59100426,EUR/USD,8000,08/29/2013 02:48:00,08/29/2013 06:14:00,1.32457,1.32703,Long,-19.68,0,0,0,0,-19.68,LE,SE,3000047258
59430260,EUR/USD,11000,09/05/2013 09:26:00,09/05/2013 15:34:00,1.31626,1.31222,Short,44.44,0,0,0,0,44.44,LE,Mkt,3000047258
59456223,USD/CAD,2000,09/06/2013 08:27:00,09/06/2013 08:30:00,1.04458,1.03974,Short,9.31,0,0,0,0,9.31,LE,Mkt,3000047258
59459878,EUR/USD,5000,09/06/2013 09:26:00,09/06/2013 09:40:00,1.3148,1.31452,Short,1.4,0,0,0,0,1.4,LE,Mkt,3000047258
59461749,GBP/USD,5000,09/06/2013 09:26:00,09/06/2013 13:56:00,1.56385,1.56279,Short,5.3,0,0,0,0,5.3,LE,Mkt,3000047258
59499597,GBP/USD,2000,09/09/2013 09:52:00,09/11/2013 04:30:00,1.56898,1.58152,Short,-25.08,0,0,-0.08,0,-25.16,Mkt,SE,3000047258
