Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
61863791,NZD/USD,1000,01/03/2014 09:22:00,01/03/2014 11:06:00,0.82993,0.82985,Short,0.08,0,0,0,0,0.08,Mkt,Mkt,3000047258
61900535,USD/DKK,20000,01/06/2014 10:52:00,01/06/2014 13:09:00,5.46358,5.46988,Long,-23.06,0,0,0,0,-23.06,LE,SE,3000047258
61926616,EUR/USD,7000,01/07/2014 10:04:00,01/07/2014 12:47:00,1.36307,1.36023,Long,19.88,0,0,0,0,19.88,LE,Mkt,3000047258
61932303,EUR/USD,6000,01/07/2014 10:04:00,01/07/2014 14:05:00,1.3612,1.36023,Long,5.82,0,0,0,0,5.82,LE,SE,3000047258
61953959,AUD/USD,14000,01/08/2014 09:13:00,01/08/2014 10:03:00,0.89372,0.89535,Short,-22.82,0,0,0,0,-22.82,LE,SE,3000047258
61955457,GBP/USD,12000,01/08/2014 10:03:00,01/08/2014 11:39:00,1.64597,1.64595,Short,0.24,0,0,0,0,0.24,LE,LE,3000047258
62017303,GBP/USD,12000,01/10/2014 12:24:00,01/10/2014 15:42:00,1.64819,1.64634,Long,22.2,0,0,0,0,22.2,LE,LE,3000047258
62081203,GBP/CAD,1000,01/14/2014 09:30:00,01/14/2014 09:31:00,1.79233,1.79234,Short,-0.01,0,0,0,0,-0.01,Mkt,Mkt,3000047258
62081268,GBP/CAD,12000,01/14/2014 09:50:00,01/14/2014 09:56:00,1.7933,1.7952,Short,-20.86,0,0,0,0,-20.86,LE,SE,3000047258
62093549,EUR/USD,11000,01/14/2014 20:34:00,01/14/2014 20:43:00,1.36394,1.36575,Long,-19.91,0,0,0,0,-19.91,LE,SE,3000047258
62152750,NZD/USD,4000,01/16/2014 21:07:00,01/16/2014 21:20:00,0.83,0.83143,Long,-5.72,0,0,0,0,-5.72,LE,SE,3000047258
62224762,USD/JPY,16000,01/21/2014 10:25:00,01/21/2014 11:13:00,104.138,104.262,Long,-19.05,0,0,0,0,-19.05,LE,SE,3000047258
62222863,EUR/USD,14000,01/21/2014 11:14:00,01/21/2014 11:21:00,1.35533,1.35683,Short,-21,0,0,0,0,-21,LE,SE,3000047258
62241234,EUR/JPY,2000,01/21/2014 23:05:00,01/22/2014 00:02:00,141.384,141.132,Long,4.83,0,0,0,0,4.83,Mkt,LE,3000047258
62235916,EUR/USD,5000,01/23/2014 02:58:00,01/23/2014 03:28:00,1.35901,1.36134,Short,-11.65,0,0,0,0,-11.65,LE,SE,3000047258
62387650,EUR/AUD,10000,01/28/2014 01:12:00,01/28/2014 02:52:00,1.55983,1.55583,Short,35.14,0,0,0,0,35.14,LE,LE,3000047258
62453145,AUD/USD,12000,01/30/2014 06:32:00,01/30/2014 08:04:00,0.87652,0.87826,Short,-20.88,0,0,0,0,-20.88,LE,SE,3000047258
62520564,USD/JPY,14000,02/02/2014 22:28:00,02/02/2014 23:27:00,102.344,102.335,Long,1.23,0,0,0,0,1.23,LE,Mkt,3000047258
62543455,USD/DKK,20000,02/03/2014 12:15:00,02/03/2014 12:33:00,5.51623,5.52246,Short,-22.56,0,0,0,0,-22.56,LE,SE,3000047258
62581159,USD/CAD,1000,02/04/2014 11:51:00,02/05/2014 05:31:00,1.1054,1.10514,Long,0.24,0,0,-0.03,0,0.21,Mkt,Mkt,3000047258
62582112,EUR/USD,17000,02/04/2014 12:17:00,02/04/2014 12:54:00,1.35077,1.35199,Short,-20.74,0,0,0,0,-20.74,Mkt,SE,3000047258
62582268,USD/CAD,7000,02/05/2014 09:29:00,02/06/2014 08:29:00,1.10999,1.10535,Short,29.38,0,0,0.29,0,29.67,LE,Mkt,3000047258
62731982,AUD/CAD,16000,02/11/2014 09:34:00,02/11/2014 10:37:00,0.99665,0.99797,Short,-19.12,0,0,0,0,-19.12,LE,SE,3000047258
62757378,GBP/CHF,9000,02/12/2014 06:30:00,02/12/2014 06:36:00,1.48616,1.48859,Short,-24.3,0,0,0,0,-24.3,LE,SE,3000047258
62757629,GBP/AUD,8000,02/12/2014 06:36:00,02/12/2014 07:16:00,1.82697,1.82951,Long,-18.38,0,0,0,0,-18.38,LE,SE,3000047258
62778303,EUR/USD,1000,02/12/2014 21:00:00,02/12/2014 22:55:00,1.36075,1.36186,Short,-1.11,0,0,0,0,-1.11,LE,SE,3000047258
62798119,USD/JPY,1000,02/13/2014 10:52:00,02/13/2014 10:54:00,102.039,102.149,Short,-1.08,0,0,0,0,-1.08,LE,SE,3000047258
62837964,AUD/CAD,7000,02/16/2014 20:06:00,02/17/2014 04:54:00,0.98994,0.99261,Long,-17.06,0,0,0,0,-17.06,LE,SE,3000047258
62887825,AUD/CAD,12000,02/18/2014 20:23:00,02/19/2014 07:05:00,0.9881,0.98509,Long,33.01,0,0,0,0,33.01,Mkt,LE,3000047258
63013258,AUD/USD,13000,02/25/2014 19:08:00,02/25/2014 19:09:00,0.89792,0.89937,Long,-18.85,0,0,0,0,-18.85,LE,SE,3000047258
63037848,USD/CHF,13000,02/26/2014 09:21:00,02/26/2014 09:52:00,0.88975,0.89136,Short,-23.48,0,0,0,0,-23.48,LE,SE,3000047258
63084160,USD/JPY,1000,02/27/2014 19:56:00,02/27/2014 22:14:00,101.805,101.927,Long,-1.2,0,0,0,0,-1.2,Mkt,SE,3000047258
63171109,USD/CHF,6000,03/04/2014 13:41:00,03/05/2014 05:14:00,0.88698,0.88868,Short,-11.48,0,0,-0.05,0,-11.53,LE,SE,3000047258
63169734,EUR/USD,7000,03/05/2014 05:14:00,03/06/2014 07:01:00,1.37541,1.37111,Long,30.1,0,0,0.02,0,30.12,LE,LE,3000047258
63173122,EUR/JPY,6000,03/05/2014 22:26:00,03/05/2014 23:53:00,140.871,141.036,Short,-9.64,0,0,0,0,-9.64,LE,SE,3000047258
63233541,AUD/CAD,1000,03/06/2014 19:39:00,03/06/2014 19:43:00,0.99723,0.99913,Long,-1.73,0,0,0,0,-1.73,LE,SE,3000047258
63274108,GBP/AUD,3000,03/10/2014 07:49:00,03/10/2014 20:04:00,1.84241,1.83972,Long,7.29,0,0,-0.41,0,6.88,LE,SE,3000047258
63310027,NZD/USD,6000,03/12/2014 07:23:00,03/12/2014 13:53:00,0.84806,0.84477,Long,19.74,0,0,0,0,19.74,LE,SE,3000047258
63344494,EUR/JPY,7000,03/13/2014 00:31:00,03/13/2014 00:56:00,143.22,143.349,Short,-8.78,0,0,0,0,-8.78,LE,SE,3000047258
63303220,GBP/USD,6000,03/13/2014 03:06:00,03/13/2014 07:34:00,1.66808,1.67028,Short,-13.2,0,0,0,0,-13.2,LE,SE,3000047258
63406416,USD/CHF,8000,03/16/2014 22:22:00,03/17/2014 03:16:00,0.87295,0.87412,Short,-10.71,0,0,0,0,-10.71,LE,SE,3000047258
