Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
68544067,AUD/NZD,3000,01/04/2015 22:31:00,01/05/2015 00:20:00,1.05708,1.05533,Short,4.01,-0.36,0,0,0,3.65,LE,LE,3000047258
68544224,AUD/NZD,3000,01/04/2015 22:31:00,01/05/2015 16:36:00,1.05708,1.05251,Short,10.54,-0.36,0,0,0,10.18,LE,SE,3000047258
68544474,AUD/USD,3000,01/05/2015 21:33:00,01/05/2015 21:44:00,0.81356,0.81507,Short,-4.53,-0.24,0,0,0,-4.77,LE,SE,3000047258
68544654,AUD/USD,3000,01/05/2015 21:33:00,01/05/2015 21:44:00,0.81356,0.81507,Short,-4.53,-0.24,0,0,0,-4.77,LE,SE,3000047258
68695096,EUR/AUD,3000,01/11/2015 17:33:00,01/12/2015 04:46:00,1.44367,1.44731,Short,-8.92,-0.36,0,0,0,-9.28,Mkt,SE,3000047258
68695414,AUD/CAD,5000,01/11/2015 20:20:00,01/11/2015 23:08:00,0.97521,0.97748,Short,-9.58,-0.6,0,0,0,-10.18,LE,SE,3000047258
68698265,EUR/AUD,3000,01/12/2015 08:14:00,01/12/2015 09:50:00,1.45007,1.45316,Short,-7.55,-0.36,0,0,0,-7.91,LE,SE,3000047258
68698031,AUD/NZD,4000,01/13/2015 06:32:00,01/13/2015 09:29:00,1.05253,1.0552,Short,-8.24,-0.48,0,0,0,-8.72,LE,SE,3000047258
68766817,AUD/NZD,6000,01/13/2015 20:51:00,01/13/2015 20:54:00,1.05439,1.05528,Long,-4.13,-0.72,0,0,0,-4.85,LE,SE,3000047258
68987746,AUD/NZD,3000,01/23/2015 03:46:00,01/23/2015 07:55:00,1.06032,1.06354,Long,-7.19,-0.36,0,0,0,-7.55,LE,SE,3000047258
68610250,GBP/AUD,3000,01/23/2015 06:20:00,01/23/2015 07:43:00,1.88395,1.88776,Short,-9.06,-0.36,0,0,0,-9.42,LE,SE,3000047258
69030847,NZD/CAD,10000,01/23/2015 07:45:00,01/23/2015 16:14:00,0.92593,0.92533,Long,4.83,-1.2,0,0,0,3.63,LE,Mkt,3000047258
