Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
54803001,EUR/USD,1000,04/04/2013 13:35:00,04/04/2013 13:45:00,1.29311,1.29467,Short,-1.56,0,0,0,0,-1.56,LE,SE,3000047258
56731507,NZD/JPY,1000,05/30/2013 21:02:00,05/31/2013 03:07:00,81.904,81.391,Short,5.09,0,0,0,0,5.09,Mkt,LE,3000047258
56725512,EUR/USD,7000,05/30/2013 23:20:00,05/31/2013 03:28:00,1.30183,1.30329,Long,-10.22,0,0,0,0,-10.22,LE,SE,3000047258
56751550,EUR/USD,1000,05/31/2013 09:31:00,05/31/2013 09:39:00,1.29901,1.29897,Short,0.04,0,0,0,0,0.04,LE,Mkt,3000047258
56752362,EUR/USD,1000,05/31/2013 09:45:00,05/31/2013 09:47:00,1.29802,1.29804,Short,-0.02,0,0,0,0,-0.02,Mkt,Mkt,3000047258
56805193,EUR/USD,5000,06/03/2013 11:15:00,06/03/2013 11:20:00,1.30891,1.31025,Short,-6.7,0,0,0,0,-6.7,LE,SE,3000047258
56805544,EUR/USD,5000,06/03/2013 11:16:00,06/04/2013 10:35:00,1.30855,1.3048,Short,18.75,0,0,0.02,0,18.77,Mkt,LE,3000047258
56821312,NZD/JPY,5000,06/03/2013 19:39:00,06/03/2013 20:14:00,80.559,80.745,Long,-9.33,0,0,0,0,-9.33,Mkt,SE,3000047258
56821313,NZD/JPY,5000,06/03/2013 19:39:00,06/03/2013 20:14:00,80.554,80.748,Long,-9.73,0,0,0,0,-9.73,Mkt,SE,3000047258
56868379,EUR/USD,8000,06/04/2013 23:56:00,06/05/2013 02:33:00,1.30931,1.3108,Short,-11.92,0,0,0,0,-11.92,LE,SE,3000047258
56868472,EUR/USD,8000,06/04/2013 23:56:00,06/05/2013 02:33:00,1.30931,1.3108,Short,-11.92,0,0,0,0,-11.92,LE,SE,3000047258
56931768,EUR/USD,5000,06/06/2013 10:11:00,06/06/2013 11:37:00,1.31712,1.31986,Short,-13.7,0,0,0,0,-13.7,LE,SE,3000047258
56931857,EUR/USD,5000,06/06/2013 10:11:00,06/06/2013 11:37:00,1.31712,1.31986,Short,-13.7,0,0,0,0,-13.7,LE,SE,3000047258
56948911,EUR/USD,5000,06/06/2013 13:08:00,06/06/2013 19:59:00,1.32417,1.32409,Long,0.4,0,0,-0.07,0,0.33,LE,Mkt,3000047258
56949067,EUR/USD,5000,06/06/2013 13:08:00,06/06/2013 19:59:00,1.32419,1.32415,Long,0.2,0,0,-0.07,0,0.13,LE,Mkt,3000047258
57049738,EUR/USD,5000,06/11/2013 10:19:00,06/11/2013 10:45:00,1.33017,1.32817,Short,10,0,0,0,0,10,LE,LE,3000047258
57049774,EUR/USD,5000,06/11/2013 10:19:00,06/12/2013 03:03:00,1.33017,1.33245,Short,-11.4,0,0,0.02,0,-11.38,LE,SE,3000047258
